Date,Adj Close,Close,High,Low,Open,Volume
2024-07-11,127.19036865234376,127.4000015258789,136.14999389648438,127.0500030517578,135.75,374782700
2024-07-12,129.02735900878906,129.24000549316406,131.9199981689453,127.22000122070312,128.25999450683594,252680500
2024-07-15,128.22866821289062,128.44000244140625,131.38999938964844,127.18000030517578,130.55999755859375,208326200
2024-07-16,126.15206146240234,126.36000061035156,129.0399932861328,124.58000183105467,128.44000244140625,214769500
2024-07-17,117.79583740234376,117.98999786376952,121.8499984741211,116.72000122070312,121.3499984741211,390086200
2024-07-18,120.89073944091795,121.08999633789062,122.4000015258789,116.55999755859376,121.8499984741211,320979500
2024-07-19,117.73595428466795,117.93000030517578,121.5999984741211,117.37000274658205,120.3499984741211,217223800
2024-07-22,123.33672332763672,123.54000091552734,124.06999969482422,119.86000061035156,120.3499984741211,258068900
2024-07-23,122.38826751708984,122.58999633789062,124.69000244140624,122.0999984741211,122.77999877929688,173911000
2024-07-24,114.06199645996094,114.25,119.9499969482422,113.44000244140624,119.16999816894533,327776900
2024-07-25,112.0952377319336,112.27999877929688,116.62999725341795,106.3000030517578,113.04000091552734,460067000
2024-07-26,112.87394714355467,113.05999755859376,116.1999969482422,111.58000183105467,116.19000244140624,293399100
2024-07-29,111.40637969970705,111.58999633789062,116.27999877929688,111.3000030517578,113.69000244140624,248152100
2024-07-30,103.55931091308594,103.7300033569336,111.98999786376952,102.54000091552734,111.5199966430664,486833300
2024-07-31,116.82743072509766,117.0199966430664,118.33999633789062,110.87999725341795,112.9000015258789,473174200
2024-08-01,109.03028869628906,109.20999908447266,120.16000366210938,106.80999755859376,117.52999877929688,523462300
2024-08-02,107.09349060058594,107.2699966430664,108.72000122070312,101.37000274658205,103.76000213623048,482027500
2024-08-05,100.28470611572266,100.4499969482422,103.41000366210938,90.69000244140624,92.05999755859376,552842400
2024-08-06,104.07846069335938,104.25,107.70999908447266,100.5500030517578,103.83999633789062,409012100
2024-08-07,98.74724578857422,98.91000366210938,108.8000030517578,98.69000244140624,107.80999755859376,411440400
2024-08-08,104.79727172851562,104.97000122070312,105.5,97.5199966430664,102.0,391910000
2024-08-09,104.57762908935548,104.75,106.5999984741211,103.43000030517578,105.63999938964844,290844200
2024-08-12,108.84061431884766,109.0199966430664,111.06999969482422,106.26000213623048,106.31999969482422,325559900
2024-08-13,115.94888305664062,116.13999938964844,116.2300033569336,111.58000183105467,112.44000244140624,312646700
2024-08-14,117.88570404052734,118.08000183105467,118.5999984741211,114.06999969482422,118.52999877929688,339246400
2024-08-15,122.6578369140625,122.86000061035156,123.23999786376952,117.47000122070312,118.76000213623048,318086700
2024-08-16,124.37499237060548,124.58000183105467,125.0,121.18000030517578,121.94000244140624,302589900
2024-08-19,129.78607177734375,130.0,130.0,123.41999816894533,124.27999877929688,318333600
2024-08-20,127.04061126708984,127.25,129.8800048828125,125.88999938964844,128.39999389648438,300087400
2024-08-21,128.28855895996094,128.5,129.35000610351562,126.66000366210938,127.31999969482422,257883600
2024-08-22,123.53639221191406,123.73999786376952,130.75,123.0999984741211,130.02000427246094,376189100
2024-08-23,129.1571044921875,129.3699951171875,129.60000610351562,125.22000122070312,125.86000061035156,323230300
2024-08-26,126.2519073486328,126.45999908447266,131.25999450683594,124.37000274658205,129.57000732421875,331964700
2024-08-27,128.08889770507812,128.3000030517578,129.1999969482422,123.87999725341795,125.0500030517578,303134600
2024-08-28,125.40331268310548,125.61000061035156,128.3300018310547,122.63999938964844,128.1199951171875,448101100
2024-08-29,117.39649963378906,117.58999633789062,124.43000030517578,116.70999908447266,121.36000061035156,453023300
2024-08-30,119.17357635498048,119.37000274658205,121.75,117.22000122070312,119.52999877929688,333751600
2024-09-03,107.82228088378906,108.0,116.20999908447266,107.29000091552734,116.01000213623048,477155100
2024-09-04,106.03522491455078,106.20999908447266,113.2699966430664,104.12000274658205,105.41000366210938,372470300
2024-09-05,107.03358459472656,107.20999908447266,109.6500015258789,104.76000213623048,104.98999786376952,306850700
2024-09-06,102.66079711914062,102.83000183105467,108.1500015258789,100.9499969482422,108.04000091552734,413638100
2024-09-09,106.2947998046875,106.47000122070312,106.5500030517578,103.69000244140624,104.87999725341795,273912000
2024-09-10,107.92210388183594,108.0999984741211,109.4000015258789,104.9499969482422,107.80999755859376,268283700
2024-09-11,116.71762084960938,116.91000366210938,117.19000244140624,107.41999816894533,109.38999938964844,441422400
2024-09-12,118.95413208007812,119.13999938964844,120.79000091552734,115.37999725341795,116.83999633789062,366052700
2024-09-13,118.9141845703125,119.0999984741211,119.95999908447266,117.5999984741211,119.08000183105467,238358300
2024-09-16,116.59780883789062,116.77999877929688,118.18000030517578,114.36000061035156,116.79000091552734,248772300
2024-09-17,115.40966796875,115.58999633789062,118.8000030517578,114.83000183105467,118.16999816894533,231925900
2024-09-18,113.19312286376952,113.37000274658205,117.6999969482422,113.22000122070312,115.88999938964844,310318900
2024-09-19,117.68611145019533,117.87000274658205,119.66000366210938,117.25,117.3499984741211,293506400
2024-09-20,115.81903076171876,116.0,118.62000274658205,115.38999938964844,117.05999755859376,382462400
2024-09-23,116.07862091064452,116.26000213623048,116.98999786376952,114.86000061035156,116.5500030517578,206228500
2024-09-24,120.68143463134766,120.87000274658205,121.8000030517578,115.37999725341795,116.5199966430664,354966800
2024-09-25,123.31731414794922,123.51000213623048,124.94000244140624,121.61000061035156,122.0199966430664,284692900
2024-09-26,123.84648895263672,124.04000091552734,127.66999816894533,121.8000030517578,126.8000030517578,302582900
2024-09-27,121.21060180664062,121.4000015258789,124.02999877929688,119.26000213623048,123.97000122070312,271009200
2024-09-30,121.25054168701172,121.44000244140624,121.5,118.1500015258789,118.30999755859376,226553700
2024-10-01,116.8174819946289,117.0,122.44000244140624,115.79000091552734,121.7699966430664,302094500
2024-10-02,118.6645736694336,118.8499984741211,119.37999725341795,115.13999938964844,116.44000244140624,221845900
2024-10-03,122.65834045410156,122.8499984741211,124.36000061035156,120.33999633789062,120.91999816894533,277118000
2024-10-04,124.72510528564452,124.91999816894533,125.04000091552734,121.83000183105467,124.94000244140624,243678100
2024-10-07,127.52073669433594,127.72000122070312,130.63999938964844,124.9499969482422,124.98999786376952,346250200
2024-10-08,132.68267822265625,132.88999938964844,133.47999572753906,129.4199981689453,130.25999450683594,285722500
2024-10-09,132.44305419921875,132.64999389648438,134.52000427246094,131.3800048828125,134.11000061035156,246191600
2024-10-10,134.5996856689453,134.80999755859375,135.0,131.0,131.91000366210938,242311300
2024-10-11,134.58970642089844,134.8000030517578,135.77999877929688,133.66000366210938,134.00999450683594,170209500
2024-10-14,137.8546142578125,138.07000732421875,139.60000610351562,136.3000030517578,136.47000122070312,232347700
2024-10-15,131.3946990966797,131.60000610351562,138.57000732421875,128.74000549316406,137.8699951171875,377831000
2024-10-16,135.50827026367188,135.72000122070312,136.6199951171875,131.5800018310547,133.97999572753906,264879700
2024-10-17,136.71636962890625,136.92999267578125,140.88999938964844,136.8699951171875,139.33999633789062,306435900
2024-10-18,137.78469848632812,138.0,138.89999389648438,137.27999877929688,138.6699981689453,176090200
