Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Volatility_20,Price_Change,High_Low_Spread,Volume_Change
2024-07-11,127.19036865234376,127.4000015258789,136.14999389648438,127.0500030517578,135.75,374782700,,,127.4000015258789,127.4000015258789,,127.4000015258789,127.4000015258789,0.0,0.0,0.0,,,,,,,9.099990844726577,
2024-07-12,129.02735900878906,129.24000549316406,131.9199981689453,127.22000122070312,128.25999450683594,252680500,,,127.57523999895369,127.47215854420381,,127.6830790593074,127.53629811604817,0.1467809432592304,0.029356188651846082,0.11742475460738433,,,,0.014442731124389985,,1.8400039672851562,4.6999969482421875,-0.3257946538087271
2024-07-15,128.22866821289062,128.44000244140625,131.38999938964844,127.18000030517578,130.55999755859375,208326200,,,127.65759832680631,127.51011320683921,,127.79952881039954,127.60323917718581,0.1962896332137234,0.06274287756422155,0.13354675564950186,,,,-0.006190057395193516,,-0.8000030517578125,4.209999084472656,-0.17553511252352283
2024-07-16,126.15206146240234,126.36000061035156,129.0399932861328,124.58000183105467,128.44000244140625,214769500,,,127.53401759190585,127.46501075207499,,127.57806293346907,127.51114743149438,0.06691550197469098,0.06357740244631543,0.003338099528375549,,,,-0.01619434593209057,,-2.0800018310546875,4.459991455078139,0.030928899005501886
2024-07-17,117.79583740234376,117.98999786376952,121.8499984741211,116.72000122070312,121.3499984741211,390086200,,,126.62506333208334,127.09344161920026,,126.10297599966914,126.80587709314439,-0.7029010934752478,-0.0897182967379972,-0.6131827967372505,,,,-0.06623933765552992,,-8.370002746582045,5.129997253417969,0.816301662945623
2024-07-18,120.89073944091795,121.08999633789062,122.4000015258789,116.55999755859376,121.8499984741211,320979500,,,126.09791409454118,126.85801239248224,,125.33174835939552,126.38247851868115,-1.050730159285635,-0.2819206692475248,-0.7688094900381103,,,,0.026273400544513548,,3.099998474121108,5.840003967285142,-0.17715751031438687
2024-07-19,117.73595428466795,117.93000030517578,121.5999984741211,117.37000274658205,120.3499984741211,217223800,,,125.32001754317305,126.50789427141139,,124.19301788951557,125.75636902138446,-1.5633511318688846,-0.5382067617717968,-1.0251443700970877,,,,-0.02609626004031884,,-3.1599960327148438,4.229995727539048,-0.32324712325865046
2024-07-22,123.33672332763672,123.54000091552734,124.06999969482422,119.86000061035156,120.3499984741211,258068900,,,125.15049215006394,126.39150629667084,,124.09255373967123,125.59219360613578,-1.4996398664645483,-0.7304933827103471,-0.7691464837542011,,,,0.04757059777693695,,5.6100006103515625,4.209999084472656,0.18803234268068225
2024-07-23,122.38826751708984,122.58999633789062,124.69000244140624,122.0999984741211,122.77999877929688,173911000,,,124.90663540604743,126.24242747475789,,123.86139106247421,125.36980862330282,-1.5084175608286046,-0.8860782183339986,-0.622339342494606,,,,-0.007689854060194623,,-0.9500045776367188,2.590003967285142,-0.326106322768842
2024-07-24,114.06199645996094,114.25,119.9499969482422,113.44000244140624,119.16999816894533,327776900,,,123.89171774832863,125.77213620123798,,122.38271551440126,124.54611909565075,-2.163403581249497,-1.1415432909170984,-1.0218602903323988,,,,-0.06803162237564131,,-8.339996337890625,6.509994506835966,0.884739320687018
