Date,Adj Close,Close,High,Low,Open,Volume
2024-07-11,509.28131103515625,512.7000122070312,535.4600219726562,508.3699951171875,530.8900146484375,16458300
2024-07-12,495.54345703125,498.8699951171875,508.0899963378906,494.2300109863281,497.760009765625,19750500
2024-07-15,492.8515930175781,496.1600036621094,506.6799926757813,493.3699951171875,498.6300048828125,12539200
2024-07-16,486.5240478515625,489.7900085449219,503.9500122070313,485.7900085449219,501.5,14075800
2024-07-17,458.9093933105469,461.989990234375,479.1700134277344,459.1199951171875,479.1700134277344,28076600
2024-07-18,472.677001953125,475.8500061035156,479.239990234375,464.5400085449219,475.0,19267200
2024-07-19,473.6107482910156,476.7900085449219,486.7099914550781,475.7099914550781,476.05999755859375,15149400
2024-07-22,484.1499938964844,487.3999938964844,492.05999755859375,483.8999938964844,486.5799865722656,12023100
2024-07-23,485.431396484375,488.6900024414063,495.2200012207031,487.7200012207031,489.8399963378906,9455500
2024-07-24,458.1942138671875,461.2699890136719,476.2999877929688,460.5799865722656,472.30999755859375,17649700
2024-07-25,450.3865966796875,453.4100036621094,463.5499877929688,442.6499938964844,463.260009765625,18240500
2024-07-26,462.5946960449219,465.7000122070313,469.7699890136719,459.4200134277344,464.2000122070313,14222400
2024-07-29,462.6046752929688,465.7099914550781,473.9599914550781,465.0199890136719,469.8800048828125,11339600
2024-07-30,460.1014099121094,463.1900024414063,472.7300109863281,456.7000122070313,467.0,11390400
2024-07-31,471.6637878417969,474.8299865722656,476.5,466.75,471.0199890136719,24285800
2024-08-01,494.4210510253906,497.739990234375,527.1699829101562,492.1000061035156,521.0,43083100
2024-08-02,484.885009765625,488.1400146484375,501.1499938964844,476.1499938964844,489.0,24044700
2024-08-05,472.5578002929688,475.7300109863281,483.4800109863281,450.7999877929688,451.3500061035156,21396200
2024-08-06,490.7953796386719,494.0899963378906,502.55999755859375,478.6499938964844,479.0,20955000
2024-08-07,485.6598815917969,488.9200134277344,510.1499938964844,486.8599853515625,503.1300048828125,20105300
2024-08-08,506.2317810058594,509.6300048828125,509.9599914550781,494.7200012207031,497.5,16156800
2024-08-09,514.3175048828125,517.77001953125,518.3400268554688,505.7000122070313,507.7099914550781,13696600
2024-08-12,512.5096435546875,515.9500122070312,518.02001953125,509.1000061035156,516.8599853515625,9767400
