Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Volatility_20,Price_Change,High_Low_Spread,Volume_Change
2024-07-11,543.61083984375,556.47998046875,562.3300170898438,555.8300170898438,561.4400024414062,53054200,,,556.47998046875,556.47998046875,,556.47998046875,556.47998046875,0.0,0.0,0.0,,,,,,,6.5,
2024-07-12,547.0397338867188,559.989990234375,563.6699829101562,557.1500244140625,557.6300048828125,53084400,,,556.8142671130952,556.6176279105392,,557.0199819711538,556.7399811921296,0.2800007790242489,0.05600015580484979,0.22400062321939912,,,,0.006307522083127459,,3.510009765625,6.51995849609375,0.0005692292033430135
2024-07-15,548.5441284179688,561.530029296875,564.8400268554688,559.6300048828125,562.030029296875,40584300,,,557.2633873210742,556.8102711021603,,557.7138354058801,557.0947995702588,0.6190358356212755,0.16860729176813494,0.4504285438531406,,,,0.002750118911688748,,1.5400390625,5.21002197265625,-0.2354759590388137
2024-07-16,551.7969970703125,564.8599853515625,565.1599731445312,562.0999755859375,562.8699951171875,36475300,,,557.9868728477874,557.1259461707643,,558.8132430898313,557.6699985170221,1.1432445728091807,0.3635347479763441,0.7797098248328366,,,,0.005930147776526118,,3.3299560546875,3.05999755859375,-0.10124604834874573
2024-07-17,544.0602416992188,556.9400024414062,560.510009765625,556.6099853515625,558.7999877929688,57119000,,,557.8871709043225,557.1186542598091,,558.5250522208428,557.6159247336432,0.909127487199612,0.4726532958209977,0.4364741913786143,,,,-0.014021143496696697,,-7.91998291015625,3.9000244140625,0.5659638166101444
2024-07-18,539.8792114257812,552.6599731445312,559.52001953125,550.4299926757812,558.510009765625,56270400,,,557.3893425462471,556.9438040199942,,557.6227323629487,557.2488172085237,0.3739151544249353,0.45290566754178524,-0.07899051311684996,,,,-0.007684901925006371,,-4.280029296875,9.09002685546875,-0.01485670267336614
2024-07-19,536.2940063476562,548.989990234375,554.0800170898438,547.9099731445312,552.4199829101562,65509100,,,556.5894042308307,556.6318897538914,,556.2946181893219,556.6370522474757,-0.342434058153799,0.2938377224026684,-0.6362717805564675,,,,-0.0066405802636198,,-3.66998291015625,6.1700439453125,0.16418401148738937
2024-07-22,541.8231201171875,554.6500244140625,555.27001953125,551.02001953125,553.0,43346700,,,556.4047013911385,556.5541695444863,,556.0416037623589,556.4898650005562,-0.44826123819723307,0.14541793028268812,-0.5936791684799212,,,,0.01030990415193389,,5.6600341796875,4.25,-0.3383102500263322
2024-07-23,540.9732666015625,553.780029296875,556.739990234375,553.280029296875,554.5399780273438,34439600,,,556.1547326202563,556.4453797308545,,555.6936692292076,556.2891364299131,-0.5954672007055706,-0.002759095914963608,-0.592708104790607,,,,-0.0015685478750434578,,-0.8699951171875,3.4599609375,-0.20548507729538812
2024-07-24,528.7135009765625,541.22998046875,549.1699829101562,540.2899780273438,548.8599853515625,74515300,,,554.7333276534462,555.8486974068504,,553.4684863429833,555.173643395753,-1.705157052769664,-0.34323868728590373,-1.3619183654837603,,,,-0.022662516096977336,,-12.550048828125,8.8800048828125,1.1636517265008886
2024-07-25,525.958740234375,538.4099731445312,547.4600219726562,537.4500122070312,541.3499755859375,61158300,,,553.178722462121,555.1648258671516,,551.1517920047598,553.9318900438107,-2.780098039050813,-0.8306105576388856,-1.9494874814119274,,,,-0.005210367913795921,,-2.82000732421875,10.010009765625,-0.17925177782280954
2024-07-26,531.8492431640625,544.4400024414062,547.1900024414062,541.489990234375,542.280029296875,53763800,,,552.346463412529,554.7442445563381,,550.1192089950132,553.2287872584474,-3.109578263434173,-1.2864040987979433,-1.8231741646362298,,,,0.011199698366761712,,6.030029296875,5.70001220703125,-0.12090754648183488
