Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Volatility_20,Price_Change,High_Low_Spread,Volume_Change,Score,Confidence,Signal
2024-07-11,184.1501007080078,185.57000732421875,190.8600006103516,185.0800018310547,189.8500061035156,25625800,,,185.57000732421875,185.57000732421875,,185.57000732421875,185.57000732421875,0.0,0.0,0.0,,,,,,,5.779998779296903,,-7,58.33,SELL
2024-07-12,183.6539001464844,185.07000732421875,187.1100006103516,184.4900054931641,185.0800018310547,22898400,,,185.52238827659968,185.5503994810815,,185.49308424729568,185.5329702871817,-0.0398860398860563,-0.0079772079772112,-0.031908831908845,,,,-0.0026944009283053,,-0.5,2.6199951171875,-0.1064317992023663,-8,66.67,STRONG SELL
2024-07-15,185.1027374267578,186.52999877929688,188.2400054931641,184.9199981689453,184.9199981689453,16474000,,,185.6183511816185,185.58881513983505,,185.6526095599112,185.60682424956065,0.0457853103505954,0.00277529568835,0.0430100146622453,,,,0.0078888604165903,,1.459991455078125,3.3200073242187784,-0.2805610872375362,4,33.33,HOLD
2024-07-16,182.5126953125,183.9199981689453,188.67999267578125,183.3699951171875,187.3600006103516,18290700,,,185.4566032756496,185.52337133705504,,185.3860539613011,185.48187416951504,-0.0958202082139507,-0.01694380509211,-0.0788764031218406,,,,-0.0139923906472531,,-2.6100006103515625,5.30999755859375,0.1102767998057545,-8,66.67,STRONG SELL
2024-07-17,179.63490295410156,181.0200042724609,183.5500030517578,179.89999389648438,182.97000122070312,20734100,,,185.03407003725064,185.34676870707096,,184.7143540091718,185.15136528825175,-0.437011279079968,-0.1009572998896816,-0.3360539791902863,,,,-0.0157676920691383,,-2.8999938964844034,3.6500091552734375,0.1335870141656689,-8,66.67,STRONG SELL
2024-07-18,176.33038330078125,177.69000244140625,182.5,176.47000122070312,181.92999267578125,25315700,,,184.3346350281226,185.04650336331943,,183.6336845372079,184.59867174404096,-0.9649872068330864,-0.2737632812783627,-0.6912239255547238,,,,-0.0183957670559025,,-3.330001831054659,6.029998779296875,0.2209693210701211,-8,66.67,STRONG SELL
2024-07-19,176.30059814453125,177.66000366210938,180.2899932861328,177.1300048828125,178.8800048828125,18881900,,,183.69895585040703,184.75683670837003,,182.71465671026965,184.08469633056455,-1.370039620294932,-0.4930185490816766,-0.8770210712132555,,,,-0.0001688264893054,,-0.029998779296875,3.1599884033203125,-0.2541426861591819,-8,66.67,STRONG SELL
2024-07-22,180.2799072265625,181.6699981689453,182.6999969482422,180.22999572753903,180.58999633789065,24100300,,,183.50572178550595,184.6357842166279,,182.5539400116044,183.9058298000743,-1.3518897884699186,-0.664792796959325,-0.6870969915105936,,,,0.022571172037475,,4.0099945068359375,2.4700012207031534,0.2763704923762968,-6,50.0,SELL
2024-07-23,180.39898681640625,181.7899932861328,183.6100006103516,181.5399932861328,182.0500030517578,36352700,,,183.34231907127997,184.5241845722948,,182.4364097461472,183.74910116941197,-1.312691423264738,-0.7943725222204077,-0.5183189010443303,,,,0.0006605114680295,,0.1199951171875,2.0700073242187784,0.5083920117176965,-6,50.0,SELL
2024-07-24,171.30906677246094,172.6300048828125,176.19000244140625,171.82000732421875,173.60000610351562,49585200,,,182.32209867237827,184.05774615309937,,180.9277320748649,182.9254644074416,-1.9977323325766747,-1.035044484291661,-0.9626878482850136,,,,-0.0503877481798611,,-9.159988403320312,4.3699951171875,0.3640032239696089,-8,66.67,STRONG SELL
2024-07-25,166.00001525878906,167.27999877929688,173.4199981689453,167.19000244140625,172.52000427246094,44852000,,,180.88951773018005,183.39979527569537,,178.8280807986237,181.76654102757905,-2.938460228955364,-1.4157276332244018,-1.5227325957309623,,,,-0.0309911715935327,,-5.350006103515625,6.229995727539063,-0.0954559021643555,-8,66.67,STRONG SELL
2024-07-26,165.72215270996094,167.0,168.08999633789062,164.05999755859375,167.14999389648438,41336900,,,179.56670651778194,182.75666604919752,,177.0083760603739,180.67272317368432,-3.664347113310413,-1.865451529241604,-1.7988955840688088,,,,-0.0016738329826645,,-0.279998779296875,4.029998779296875,-0.0783710871310086,-8,66.67,STRONG SELL
2024-07-29,168.2327880859375,169.52999877929688,170.42999267578125,167.99000549316406,168.8300018310547,20293800,,,178.6108295903072,182.23797321508377,,175.85785647866973,179.84733618150747,-3.989479702837741,-2.290257163960832,-1.6992225388769095,,,,0.0151496932892027,,2.529998779296875,2.4399871826171875,-0.5090633308254853,-6,50.0,SELL
2024-07-30,168.9869842529297,170.2899932861328,171.22999572753906,168.44000244140625,170.24000549316406,18959700,,,177.81836898990963,181.7694249825759,,175.00126214135636,179.13938485592416,-4.1381227145678,-2.6598302740822253,-1.4782924404855744,,,,0.0044829499929706,,0.7599945068359375,2.7899932861328125,-0.0657392898323625,-6,50.0,SELL
2024-07-31,170.22744750976562,171.5399932861328,174.25,170.00999450683594,173.24000549316406,25729100,,,177.22042844669278,181.36827079840168,29.542097883302404,174.46875924055274,178.57646696186555,-4.107707721312806,-2.949405763528341,-1.1583019577844649,,,,0.0073404195741535,,1.25,4.240005493164063,0.357041514369953,-4,33.33,HOLD
2024-08-01,169.45339965820312,170.75999450683594,174.0500030517578,168.8800048828125,170.25,24531400,,,176.60514902384926,180.9522599634383,29.302822194964023,173.89818005075017,177.99746900223374,-4.099288951483572,-3.179382401119388,-0.9199065503641846,,,,-0.004547037482949,,-0.779998779296875,5.1699981689453125,-0.0465504040172412,-6,50.0,SELL
2024-08-02,165.384765625,166.66000366210938,168.50999450683594,164.6699981689453,166.44000244140625,29130100,,,175.6579923227312,180.39177932417053,23.300166653544338,172.78461445249775,177.15765675481714,-4.373042302319391,-3.4181143813593886,-0.954927920960002,,,,-0.0240102540209582,,-4.0999908447265625,3.839996337890625,0.1874617836731698,-6,50.0,SELL
