Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Volatility_20,Price_Change,High_Low_Spread,Volume_Change
2024-07-12,2414.0,2414.0,2414.0,2391.300048828125,2399.800048828125,355,,,2414.0,2414.0,,2414.0,2414.0,0.0,0.0,0.0,,,,,,,22.699951171875,
2024-07-15,2422.89990234375,2422.89990234375,2436.0,2422.89990234375,2430.0,540,,,2414.847609747024,2414.3490157781866,,2415.3692157451924,2414.659252025463,0.7099637197293305,0.1419927439458661,0.5679709757834643,,,,0.003686786389291541,,8.89990234375,13.10009765625,0.5211267605633803
2024-07-16,2462.39990234375,2462.39990234375,2462.39990234375,2427.39990234375,2427.39990234375,93,,,2419.3763995181407,2416.233364270954,,2422.6047059911243,2418.195596493484,4.409109497640202,0.9954160946847334,3.4136934029554684,,,,0.016302778320222977,,39.5,35.0,-0.8277777777777777
2024-07-17,2454.800048828125,2454.800048828125,2473.10009765625,2454.800048828125,2472.89990234375,10,,,2422.750080404806,2417.745783273196,,2427.557835658355,2420.907037407161,6.650798251193919,2.1264925259865706,4.524305725207348,,,,-0.0030863603870319167,,-7.599853515625,18.300048828125,-0.8924731182795699
2024-07-18,2451.800048828125,2451.800048828125,2466.0,2451.800048828125,2466.0,2,,,2425.51674406417,2419.0812446675072,,2431.2874069152426,2423.195408623529,8.09199829171348,3.3195936791319527,4.772404612581528,,,,-0.001222095462085404,,-3.0,14.199951171875,-0.8
2024-07-19,2395.5,2395.5,2419.199951171875,2395.5,2418.800048828125,15,,,2422.658006534249,2418.156489974664,,2425.781652005205,2421.143896873638,4.637755131567246,3.583225969619012,1.0545291619482344,,,,-0.02296274072391602,,-56.300048828125,23.699951171875,6.5
2024-07-22,2392.0,2392.0,2402.10009765625,2392.0,2402.10009765625,18,,,2419.7381963881303,2417.1307452697756,,2420.584474773635,2418.985089697813,1.5993850758222834,3.1864577908596665,-1.5870727150373831,,,,-0.001461072844917588,,-3.5,10.10009765625,0.19999999999999996
2024-07-23,2404.60009765625,2404.60009765625,2404.60009765625,2388.699951171875,2395.800048828125,41,,,2418.2964726993796,2416.6393473241474,,2418.125339832499,2417.919534731771,0.20580510072795732,2.590327252833325,-2.384522152105368,,,,0.005267599354619623,,12.60009765625,15.900146484375,1.2777777777777777
2024-07-24,2413.300048828125,2413.300048828125,2421.0,2411.60009765625,2421.0,6,,,2417.820622806879,2416.5083944419507,,2417.3829873702875,2417.5773505907605,-0.19436322047295107,2.03338915817207,-2.2277523786450213,,,,0.0036180449216294264,,8.699951171875,9.39990234375,-0.8536585365853658
2024-07-25,2351.89990234375,2351.89990234375,2365.5,2351.89990234375,2365.5,31,,,2411.542458953247,2413.9747280851584,,2407.308666596974,2412.7123544243154,-5.4036878273414,0.5459737610693762,-5.949661588410777,,,,-0.02544240054782676,,-61.400146484375,13.60009765625,4.166666666666667
2024-07-26,2380.0,2380.0,2386.89990234375,2368.699951171875,2368.699951171875,95,,,2408.538415243414,2412.6423858073094,,2403.1073332743626,2410.289217059551,-7.181883785188347,-0.9995977481821685,-6.182286037006179,,,,0.011947828914082192,,28.10009765625,18.199951171875,2.064516129032258
2024-07-29,2377.300048828125,2377.300048828125,2377.300048828125,2377.300048828125,2377.300048828125,126409,,,2405.5633327276723,2411.256411808126,,2399.1369818210956,2407.845574968334,-8.708593147238389,-2.5413968279934127,-6.167196319244976,,,,-0.0011344332654936728,,-2.699951171875,0.0,1329.621052631579
2024-07-30,2405.0,2405.0,2409.300048828125,2373.800048828125,2380.89990234375,25944,,,2405.5096819917035,2411.0110623254545,,2400.03898461785,2407.6347916373466,-7.595807019496533,-3.5522788662940368,-4.043528153202496,,,,0.011651853196036122,,27.699951171875,35.5,-0.7947614489474641
2024-07-31,2426.5,2426.5,2447.60009765625,2402.800048828125,2407.10009765625,1313,,,2407.5087598972555,2411.618471646025,,2404.109910061258,2409.032214479025,-4.922304417767009,-3.8262839765886314,-1.0960204411783776,,,,0.008939708939708968,,21.5,44.800048828125,-0.949390995991366
2024-08-01,2435.0,2435.0,2455.10009765625,2430.39990234375,2446.699951171875,690,,,2410.126973240374,2412.5353943265727,53.62068965517242,2408.862231590295,2410.9557541472454,-2.0935225569505747,-3.4797316926610202,1.3862091357104456,,,,0.0035029878425716365,,8.5,24.7001953125,-0.4744859101294745
2024-08-02,2425.699951171875,2425.699951171875,2477.0,2416.0,2444.0,550,,,2411.610113995755,2413.051651457761,50.48210182777502,2411.452649987461,2412.047916889811,-0.5952669023499766,-2.9028387345988116,2.307571832248835,,,,-0.0038193219006673607,,-9.300048828125,61.0,-0.2028985507246377
2024-08-05,2401.699951171875,2401.699951171875,2449.800048828125,2367.39990234375,2442.0,334,,,2410.666288964909,2412.6064867406676,38.95963644469628,2409.952234785063,2411.2814009107046,-1.3291661256416774,-2.5881042128073846,1.2589380871657072,,,,-0.00989405140087729,,-24.0,82.400146484375,-0.3927272727272727
2024-08-06,2389.10009765625,2389.10009765625,2421.800048828125,2380.0,2414.5,163,,,2408.612365983132,2411.6846675608867,38.263680459427235,2406.7442136883224,2409.6383414103743,-2.8941277220519623,-2.6493089146563,-0.2448188073956623,,,,-0.005246222996955541,,-12.599853515625,41.800048828125,-0.5119760479041916
2024-08-07,2390.5,2390.5,2401.0,2384.5,2392.199951171875,130,,,2406.887378746643,2410.8538962839893,38.98669815433931,2404.245103890119,2408.2206864910872,-3.9755826009682096,-2.9145636519186824,-1.0610189490495272,,,,0.0005859538263479624,,1.39990234375,16.5,-0.2024539877300614
2024-08-08,2422.199951171875,2422.199951171875,2422.800048828125,2384.300048828125,2384.300048828125,201,2410.8099975585938,,2408.3457189776177,2411.2988396129263,55.262112004465166,2407.0073880873124,2409.2561875785527,-2.2487994912403337,-2.7814108197830127,0.532611328542679,2410.8099975585938,2466.614270566222,2355.0057245509656,0.01326080366947302,,31.699951171875,38.5,0.5461538461538462
2024-08-09,2432.10009765625,2432.10009765625,2432.10009765625,2418.5,2422.300048828125,611,2411.7150024414063,,2410.608040756535,2412.1145752224684,57.70858950411594,2410.867804944072,2410.9483290657895,-0.08052412171764445,-2.241233480169939,2.1607093584522947,2411.7150024414063,2468.318455521689,2355.1115493611237,0.004087254018639186,0.01078297240609681,9.900146484375,13.60009765625,2.0398009950248754
2024-08-12,2462.39990234375,2462.39990234375,2469.800048828125,2432.0,2432.699951171875,566,2413.6900024414062,,2415.5405990029362,2414.086548835068,60.40313990726517,2418.7958199286377,2414.759556716009,4.03626321262891,-0.9857341416101695,5.02199735423908,2413.6900024414062,2474.5342580975976,2352.845746785215,0.012458288504120008,0.011096273646628843,30.2998046875,37.800048828125,-0.07364975450081834
2024-08-13,2466.699951171875,2466.699951171875,2470.0,2456.5,2461.0,510,2413.9050048828126,,2420.412918257121,2416.1498195149425,59.765896382181126,2426.165686273751,2418.606993342369,7.558692931381756,0.7231512729882157,6.835541658393541,2413.9050048828126,2475.4997537449567,2352.3102560206685,0.0017462837064086134,0.010491487183026975,4.300048828125,13.5,-0.09893992932862195
2024-08-14,2439.39990234375,2439.39990234375,2472.10009765625,2439.39990234375,2468.0,274,2413.1349975585936,,2422.2212024558476,2417.0615874690134,68.28250551943944,2428.201719515289,2420.147208823953,8.054510691335963,2.189423156657765,5.865087534678198,2413.1349975585936,2472.9360961522216,2353.3338989649656,-0.011067438021862053,0.010768779138220852,-27.300048828125,32.7001953125,-0.4627450980392157
2024-08-15,2453.10009765625,2453.10009765625,2467.699951171875,2431.199951171875,2451.800048828125,285,2413.2,,2425.1620496177907,2418.474862378317,66.25169617559894,2432.032239229283,2422.5881635522715,9.44407567701137,3.6403536607284863,5.803722016282883,2413.2,2473.180615546876,2353.2193844531234,0.005616215405820579,0.01084488752890423,13.7001953125,36.5,0.04014598540145986
2024-08-16,2498.60009765625,2498.60009765625,2508.0,2451.39990234375,2453.5,197,2418.3550048828124,,2432.156149430977,2421.6170284676477,72.6559714144746,2442.273448218047,2428.218677189603,14.054771028444065,5.723237134271603,8.331533894172463,2418.3550048828124,2488.748422367278,2347.9615873983466,0.018547958986048663,0.010152344639283908,45.5,56.60009765625,-0.30877192982456136
2024-08-19,2501.800048828125,2501.800048828125,2508.5,2487.199951171875,2508.5,88,2423.845007324219,,2438.788901754515,2424.761460638647,69.90132982381114,2451.431386773444,2433.6691491628267,17.762237610617376,8.131037229540757,9.631200381076619,2423.845007324219,2502.2542500124246,2345.435764636013,0.001280697609383985,0.010119357261962947,3.199951171875,21.300048828125,-0.5532994923857868
2024-08-20,2511.300048828125,2511.300048828125,2527.300048828125,2500.699951171875,2503.5,187,2429.1800048828127,,2445.6947252853347,2428.1551307637246,68.33911477885312,2460.641950166472,2439.419586175071,21.222363991400925,10.74930258191279,10.473061409488135,2429.1800048828127,2516.130466420007,2342.2295433456184,0.0037972658943907778,0.010101953738641586,9.5,26.60009765625,1.125
2024-08-21,2508.39990234375,2508.39990234375,2515.39990234375,2503.89990234375,2511.0,96,2433.9349975585938,,2451.6666469099455,2431.3019845511767,66.26770181092529,2467.9893274245146,2444.529239224603,23.460088199911752,13.291459705512583,10.168628494399169,2433.9349975585938,2527.387195482408,2340.4827996347794,-0.0011548387002693339,0.010123588128160216,-2.900146484375,11.5,-0.4866310160427807
2024-08-22,2478.89990234375,2478.89990234375,2504.10009765625,2471.10009765625,2504.10009765625,210,2440.2849975585937,,2454.260290284594,2433.16856956265,60.82179426438498,2469.667877412089,2447.075214270466,22.592663141623234,15.151700392734714,7.44096274888852,2440.2849975585937,2527.3045041136916,2353.2654910034958,-0.011760485229024398,0.008505783588029734,-29.5,33.0,1.1875
2024-08-23,2508.39990234375,2508.39990234375,2508.39990234375,2486.5,2486.5,94,2446.7049926757813,,2459.416443814037,2436.118817907007,71.22959220848614,2475.6266504784985,2451.617783757376,24.00886672112256,16.923133658412283,7.0857330627102755,2446.7049926757813,2533.9432104624802,2359.4667748890824,0.011900440179980043,0.008503068437858696,29.5,21.89990234375,-0.5523809523809524
2024-08-26,2517.699951171875,2517.699951171875,2523.10009765625,2509.10009765625,2509.89990234375,290,2453.724987792969,,2464.9672540385927,2439.318078035041,75.92736429781583,2482.099465969787,2456.512759121413,25.58670684837398,18.655848296404624,6.930858551969354,2453.724987792969,2540.038416430216,2367.411559155722,0.003707562266860087,0.008458010230207608,9.300048828125,14.0,2.0851063829787235
2024-08-27,2516.0,2516.0,2523.10009765625,2506.89990234375,2515.199951171875,100,2459.2749877929687,,2469.8275155587266,2442.325212229745,75.2718187521017,2487.314932743666,2460.919221408716,26.395711334949738,20.20382090411365,6.191890430836089,2459.2749877929687,2546.6646662570543,2371.885309328883,-0.0006752000654739465,0.008233384610428765,-1.699951171875,16.2001953125,-0.6551724137931034
2024-08-28,2501.0,2501.0,2501.0,2501.0,2501.0,2353,2462.9999877929686,,2472.7963236007527,2444.6261842991667,67.01207524495723,2489.420327706179,2463.8881679710335,25.532159735145342,21.269488670319987,4.262671064825355,2462.9999877929686,2550.8572941765105,2375.1426814094266,-0.0059618441971383,0.008274170231661571,-15.0,0.0,22.53
2024-08-29,2525.699951171875,2525.699951171875,2525.699951171875,2503.89990234375,2504.10009765625,3966,2467.5349853515627,,2477.834764321812,2447.8055477059397,68.99346547701026,2495.0018082393626,2468.4668185785035,26.534989660859083,22.322588868427808,4.212400792431275,2467.5349853515627,2558.6113175799055,2376.45865312322,0.009876030056727325,0.008473828702347613,24.699951171875,21.800048828125,0.6855078623034425
2024-08-30,2493.800048828125,2493.800048828125,2525.39990234375,2493.800048828125,2519.5,208,2470.939990234375,,2479.3552676081276,2449.6092536323,56.33066846227982,2494.816922176095,2470.3433541525496,24.47356802354534,22.752784699451315,1.7207833240940253,2470.939990234375,2560.510390887326,2381.3695895814235,-0.012630123514453473,0.008997696656217174,-31.89990234375,31.599853515625,-0.9475542107917297
2024-09-03,2489.89990234375,2489.89990234375,2501.800048828125,2476.300048828125,2501.60009765625,206,2475.349987792969,,2480.3595185353297,2451.189279071965,54.68495943977889,2494.0604575865036,2471.791987351898,22.268470234605502,22.65592180648215,-0.3874515718766496,2475.349987792969,2559.0598914840416,2391.6400841018963,-0.0015639371272799796,0.008631572515497895,-3.900146484375,25.5,-0.009615384615384581
2024-09-04,2493.39990234375,2493.39990234375,2493.39990234375,2483.5,2490.89990234375,470,2480.564978027344,,2481.6014598504175,2452.844597631643,62.064327370550004,2493.9588337030027,2473.392573647591,20.56626005541193,22.23798945626811,-1.6717294008561794,2480.564978027344,2554.0177717324495,2407.112184322238,0.0014056789980614326,0.008470802557672663,3.5,9.89990234375,1.2815533980582523
2024-09-05,2511.39990234375,2511.39990234375,2513.300048828125,2493.39990234375,2493.699951171875,54,2486.609973144531,,2484.4394067545445,2455.140884090941,62.779434398874876,2496.6420750323487,2476.2079313287877,20.43414370356095,21.877220305726677,-1.4430766021657284,2486.609973144531,2547.7155577990306,2425.5043884900315,0.007219058596689809,0.008535010834454446,18.0,19.900146484375,-0.8851063829787233
2024-09-06,2493.5,2493.5,2517.89990234375,2483.699951171875,2510.300048828125,96,2490.1749755859373,,2485.3023203969688,2456.6451631461987,48.72815519794265,2496.158678873526,2477.488825304433,18.669853569092993,21.235746958399943,-2.56589338930695,2490.1749755859373,2543.2501476034195,2437.099803568455,-0.007127459998324093,0.008399165491920288,-17.89990234375,34.199951171875,0.7777777777777777
2024-09-09,2501.800048828125,2501.800048828125,2504.699951171875,2491.300048828125,2491.300048828125,96,2493.6599731445312,,2486.8735326285073,2458.4159429768624,50.0,2497.0265819434644,2479.289656676558,17.736925266906383,20.535982620101233,-2.7990573531948506,2493.6599731445312,2539.313525894795,2448.0064203942675,0.003328674083868055,0.008388502096343948,8.300048828125,13.39990234375,0.0
2024-09-10,2512.300048828125,2512.300048828125,2512.300048828125,2512.300048828125,2512.300048828125,5,2496.15498046875,,2489.295105599899,2460.529045167108,50.24201343836339,2499.376346079566,2481.7348709100074,17.641475169558362,19.95708112999266,-2.315605960434297,2496.15498046875,2540.0350366937955,2452.274924243705,0.004196978093800263,0.008012740379279662,10.5,0.0,-0.9479166666666666
