Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Volatility_20,Price_Change,High_Low_Spread,Volume_Change,Score,Confidence,Signal
2024-07-11,225.6156311035156,227.57000732421875,232.38999938964844,225.7700042724609,231.38999938964844,64710600,,,227.57000732421875,227.57000732421875,,227.57000732421875,227.57000732421875,0.0,0.0,0.0,,,,,,,6.619995117187528,,-7,58.33,SELL
2024-07-12,228.56008911132807,230.5399932861328,232.63999938964844,228.67999267578125,228.9199981689453,53046500,,,227.8528631301153,227.6864773619409,,228.0269282414363,227.7900062843605,0.2369219570757934,0.0473843914151586,0.1895375656606347,,,,0.0130508672774383,,2.9699859619140625,3.960006713867188,-0.1802502217565592,4,33.33,HOLD
2024-07-15,232.386962890625,234.3999938964844,237.22999572753903,233.08999633789065,236.47999572753903,62631300,,,228.47639939357904,227.94975252015823,,229.00739988067448,228.2796349963697,0.7277648843047757,0.1834604899930821,0.5443043943116936,,,,0.0167433014781117,,3.860000610351591,4.139999389648381,0.1806867559593941,4,33.33,HOLD
2024-07-16,232.8033599853516,234.82000732421875,236.2700042724609,232.3300018310547,235.0,43234300,,,229.08055252983044,228.21917427718023,,229.90164717968128,228.7641070206548,1.137540159026457,0.3742764237997571,0.7632637352267002,,,,0.0017918662059344,,0.4200134277343466,3.9400024414062216,-0.3097013793422777,4,33.33,HOLD
2024-07-17,226.9143524169922,228.8800048828125,231.4600067138672,226.63999938964844,229.4499969482422,57345900,,,229.061452753924,228.2450892028913,,229.74447144170145,228.7726920474813,0.9717793942201354,0.4937770178838327,0.4780023763363026,,,,-0.0252959809902604,,-5.94000244140625,4.82000732421875,0.3263982532387479,2,16.67,HOLD
2024-07-18,222.2547302246093,224.17999267578125,230.44000244140625,222.2700042724609,230.27999877929688,66034600,,,228.59655179410083,228.08567365280857,,228.88839778540603,228.43249209402205,0.4559056913839754,0.4862027525838613,-0.0302970611998859,,,,-0.0205348309453142,,-4.70001220703125,8.169998168945341,0.1515138832941849,-4,33.33,HOLD
2024-07-19,222.3836212158203,224.3099975585937,226.8000030517578,223.27999877929688,224.82000732421875,49151500,,,228.1883085335764,227.9376079236237,,228.18402851974255,228.1271221284348,0.0569063913078196,0.400343480328653,-0.3434370890208334,,,,0.0005799129586039,,0.1300048828124431,3.520004272460937,-0.2556705121254615,-2,16.67,HOLD
2024-07-22,222.03663635253903,223.9600067138672,227.77999877929688,223.08999633789065,227.009994506836,48201800,,,227.7856131221755,227.7816235624568,,227.5341790111464,227.81844691254088,-0.2842679013945144,0.2634212039840196,-0.547689105378534,,,,-0.0015602998017735,,-0.3499908447265056,4.690002441406222,-0.0193218925159964,-4,33.33,HOLD
2024-07-23,223.0775909423828,225.009994506836,226.94000244140625,222.67999267578125,224.3699951171875,39960300,,,227.5212684921432,227.67293222694224,,227.14584293356012,227.6104134010072,-0.4645704674470323,0.1178228696978092,-0.5823933371448415,,,,0.0046882825571186,,1.0499877929688068,4.260009765625,-0.1709790920671012,-6,50.0,SELL
2024-07-24,216.66314697265625,218.5399932861328,224.8000030517578,217.1300048828125,224.0,61777600,,,226.6659089487136,227.3147777586752,,225.8218660647252,226.938530429535,-1.11666436480985,-0.1290745772037226,-0.9875897876061274,,,,-0.0287542837147467,,-6.470001220703182,7.669998168945312,0.5459743795717249,-8,66.67,STRONG SELL
