Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Signal,Portfolio_Value
2025-07-11,210.3256072998047,211.1600036621093,212.1300048828125,209.8600006103516,210.57000732421875,39765800,,,211.1600036621093,211.1600036621093,,211.1600036621093,211.1600036621093,0.0,0.0,0.0,,,,HOLD,10000.0
2025-07-14,207.79562377929688,208.6199951171875,210.9100036621093,207.5399932861328,209.92999267578125,38840100,,,210.91809808640247,211.0603954838771,,210.7692331167368,210.971854881004,-0.202621764267235,-0.040524352853447,-0.162097411413788,,,,SELL,10000.0
2025-07-15,208.28369140625,209.1100006103516,211.88999938964844,208.9199981689453,209.22000122070312,42296300,,,210.7458983267786,210.98390941040552,,210.51396657729288,210.83393974984452,-0.3199731725516983,-0.0964141167930972,-0.223559055758601,,,,HOLD,10000.0
2025-07-16,209.3295440673828,210.1600036621093,212.3999938964844,208.63999938964844,210.3000030517578,47490500,,,210.6900988349053,210.95159938106056,,210.45951074418767,210.78401855816048,-0.3245078139727582,-0.1420328562290294,-0.1824749577437287,,,,HOLD,10000.0
2025-07-17,209.1901092529297,210.0200042724609,211.8000030517578,209.58999633789065,210.57000732421875,48068100,,,210.6262803051487,210.9150662395469,,210.3918943639221,210.72742490736792,-0.3355305434458557,-0.1807323936723947,-0.154798149773461,,,,HOLD,10000.0
2025-07-18,210.34548950195312,211.17999267578125,211.7899932861328,209.6999969482422,210.8699951171875,48974600,,,210.6790148166375,210.92545551155607,,210.51314025805425,210.7609484457689,-0.2478081877146394,-0.1941475524808437,-0.0536606352337957,,,,HOLD,10000.0
2025-07-21,211.640365600586,212.47999572753903,215.77999877929688,211.6300048828125,212.1000061035156,51377400,,,210.850536808152,210.9864178729672,,210.81573340720576,210.8882852814556,-0.0725518742498252,-0.16982841683464,0.0972765425848147,,,,HOLD,10000.0
2025-07-22,213.5527801513672,214.3999938964844,214.9499969482422,212.22999572753903,213.13999938964844,46404100,,,211.18858034037405,211.12028359937963,,211.367158097864,211.1484118455318,0.2187462523322096,-0.09211348300127,0.3108597353334797,,,,BUY,10000.0
2025-07-23,213.30377197265625,214.1499938964844,215.1499938964844,212.4100036621093,215.0,46989300,,,211.47061972667024,211.2390957678936,,211.79528668226715,211.37075125671348,0.4245354255536711,0.0112162987097181,0.4133191268439529,,,,HOLD,9988.339551906858
2025-07-24,212.91531372070312,213.759994506836,215.69000244140625,213.52999877929688,213.8999938964844,46022600,,,211.6886554200194,211.3379545419697,,212.0975494245085,211.54773223820405,0.5498171863044661,0.1189364762286677,0.4308807100757983,,,,HOLD,9970.149281349448
2025-07-25,213.03485107421875,213.8800048828125,215.2400054931641,213.3999938964844,214.6999969482422,40268800,,,211.89735536885684,211.4376427906302,,212.37177334117064,211.7204931748417,0.6512801663289451,0.2254052142487232,0.4258749520802219,,,,HOLD,9975.7467803883
2025-07-28,213.2041778564453,214.0500030517578,214.8500061035156,213.0599975585937,214.02999877929688,37858000,,,212.10236943389503,211.54008829106652,,212.6299625274148,211.89304946202063,0.7369130653941625,0.3277067844778111,0.4092062809163513,,,,HOLD,9983.675799687962
2025-07-29,210.43516540527344,211.2700042724609,214.8099975585937,210.82000732421875,214.17999267578125,51411700,,,212.02309656137749,211.5294967609252,,212.42073818049883,211.8468979664977,0.5738402140011374,0.3769334703824764,0.196906743618661,,,,HOLD,9854.011673828
2025-07-30,208.2239227294922,209.0500030517578,212.38999938964844,207.72000122070312,211.8999938964844,45512500,,,211.73994479855656,211.43226171350688,42.739165272584,211.9021635453079,211.63972056540587,0.2624429799020333,0.3540353722863878,-0.0915923923843544,,,,HOLD,9750.466837825115
2025-07-31,206.7497711181641,207.57000732421875,209.83999633789065,207.1600036621093,208.4900054931641,80698400,,,211.3428078962387,211.2808007570642,38.78827561492602,211.23567797283263,211.33826032531792,-0.1025823524852569,0.2627118273320588,-0.3652941798173157,,,,HOLD,9681.437184388948
2025-08-01,201.580307006836,202.3800048828125,213.5800018310547,201.5,210.8699951171875,104434500,,,210.4892076092457,210.9317499384661,33.279772213963085,209.8732667282142,210.6746858480953,-0.8014191198811034,0.0498856378894264,-0.8513047577705297,,,,SELL,9439.366168103748
