Date,Portfolio_Value
2023-03-15,10000.0
2023-03-16,10000.0
2023-03-17,10000.0
2023-03-20,10000.0
2023-03-21,9985.007496251874
2023-03-22,10015.362857320732
2023-03-23,9888.663941180286
2023-03-24,9692.896976221244
2023-03-27,9843.571132086174
2023-03-28,9889.543815282515
2023-03-29,9831.034255690673
2023-03-31,10254.90370659472
2023-04-03,10256.66227296694
2023-04-05,10216.68405548034
2023-04-06,10201.366688080818
2023-04-10,10113.854326061228
2023-04-11,10113.854326061228
2023-04-12,10098.691126172083
2023-04-13,10136.776285807897
2023-04-17,10188.20159834532
2023-04-18,10056.477264209529
2023-04-19,10041.400086901867
2023-04-20,10015.99811813933
2023-04-21,10028.592439025253
2023-04-24,10067.017676493706
2023-04-25,10144.076890744083
2023-04-26,10069.400218246039
2023-04-27,10069.400218246039
2023-04-28,10054.303666194697
2023-05-02,10139.665069675442
2023-05-03,10037.569277885466
2023-05-04,10037.569277885466
2023-05-05,10037.569277885466
2023-05-08,10022.520448383391
2023-05-09,10053.537527075576
2023-05-10,10122.668055708704
2023-05-11,10041.498833713402
2023-05-12,10026.444112823277
2023-05-15,10046.219950668014
2023-05-16,9888.300013847922
2023-05-17,9888.300013847922
2023-05-18,9888.300013847922
2023-05-19,9888.300013847922
2023-05-22,9888.300013847922
2023-05-23,9888.300013847922
2023-05-24,9888.300013847922
2023-05-25,9888.300013847922
2023-05-26,9888.300013847922
2023-05-29,9888.300013847922
2023-05-30,9888.300013847922
2023-05-31,9888.300013847922
2023-06-01,9888.300013847922
2023-06-02,9888.300013847922
2023-06-05,9888.300013847922
2023-06-06,9888.300013847922
2023-06-07,9888.300013847922
2023-06-08,9888.300013847922
2023-06-09,9888.300013847922
2023-06-12,9873.4749763459
2023-06-13,10019.340856005518
2023-06-14,10142.553431737497
2023-06-15,10145.337046148288
2023-06-16,10244.104639785655
2023-06-19,10142.354830939488
2023-06-20,10163.420396229287
2023-06-21,10192.037062828298
2023-06-22,10077.568260939805
2023-06-23,9995.09767794759
2023-06-26,9903.911569651087
2023-06-27,9889.063126518176
2023-06-28,10019.982838760516
2023-06-30,10102.178785744067
2023-07-03,10361.442935867015
2023-07-04,10254.686107780662
2023-07-05,10237.852113926017
2023-07-06,10452.750246108892
2023-07-07,10432.35024217732
2023-07-10,10834.216485510828
2023-07-11,10935.24612494615
2023-07-12,10935.24612494615
2023-07-13,10935.24612494615
2023-07-14,10935.24612494615
2023-07-17,10918.851453094658
2023-07-18,11011.574704842662
2023-07-19,11095.124851147732
2023-07-20,11065.071242463962
2023-07-21,11065.071242463962
2023-07-24,11065.071242463962
2023-07-25,11065.071242463962
2023-07-26,11065.071242463962
2023-07-27,11065.071242463962
2023-07-28,11065.071242463962
2023-07-31,11065.071242463962
2023-08-01,11065.071242463962
2023-08-02,11065.071242463962
2023-08-03,11065.071242463962
2023-08-04,11065.071242463962
2023-08-07,11065.071242463962
2023-08-08,11065.071242463962
2023-08-09,11065.071242463962
2023-08-10,11065.071242463962
2023-08-11,11065.071242463962
2023-08-14,11065.071242463962
2023-08-16,11065.071242463962
2023-08-17,11065.071242463962
2023-08-18,11065.071242463962
2023-08-21,11065.071242463962
2023-08-22,11065.071242463962
2023-08-23,11065.071242463962
2023-08-24,11065.071242463962
2023-08-25,11065.071242463962
2023-08-28,11065.071242463962
2023-08-29,11065.071242463962
2023-08-30,11065.071242463962
2023-08-31,11065.071242463962
2023-09-01,11065.071242463962
2023-09-04,11065.071242463962
2023-09-05,11065.071242463962
2023-09-06,11048.481930256372
2023-09-07,11063.49549038057
2023-09-08,11137.190860297686
2023-09-11,11257.289225094435
2023-09-12,11094.656748696294
2023-09-13,11150.156452573841
2023-09-14,11160.391795726568
2023-09-15,11181.090658471727
2023-09-18,11083.738000246309
2023-09-20,10836.720705942647
2023-09-21,10757.793014218378
2023-09-22,10712.983882351107
2023-09-25,10647.020658881123
2023-09-26,10656.346668340619
2023-09-27,10776.445033137368
2023-09-28,10618.13554485315
2023-09-29,10667.720645648154
2023-10-03,10545.575437025234
2023-10-04,10527.379770985664
2023-10-05,10527.152718567826
2023-10-06,10544.893155749844
2023-10-09,10439.371617698385
2023-10-10,10439.371617698385
2023-10-11,10439.371617698385
2023-10-12,10439.371617698385
2023-10-13,10439.371617698385
2023-10-16,10439.371617698385
2023-10-17,10439.371617698385
2023-10-18,10439.371617698385
2023-10-19,10439.371617698385
2023-10-20,10439.371617698385
2023-10-23,10439.371617698385
2023-10-25,10439.371617698385
2023-10-26,10439.371617698385
2023-10-27,10439.371617698385
2023-10-30,10439.371617698385
2023-10-31,10439.371617698385
2023-11-01,10439.371617698385
2023-11-02,10439.371617698385
2023-11-03,10439.371617698385
2023-11-06,10439.371617698385
2023-11-07,10439.371617698385
2023-11-08,10439.371617698385
2023-11-09,10439.371617698385
2023-11-10,10439.371617698385
2023-11-13,10439.371617698385
2023-11-15,10423.720385887746
2023-11-16,10442.51956829788
2023-11-17,10419.738675334249
2023-11-20,10392.313728529885
2023-11-21,10523.027066969276
2023-11-22,10564.165580151544
2023-11-23,10596.456454868114
2023-11-24,10573.499571268585
2023-11-28,10557.647248073281
2023-11-29,10585.426631138454
2023-11-30,10482.910488371035
2023-12-01,10557.208190446201
2023-12-04,10671.408931353631
2023-12-05,10748.792021021573
2023-12-06,10851.75048983513
2023-12-07,10833.89184809051
2023-12-08,10828.15904105902
2023-12-11,10844.033752434134
2023-12-12,10688.384010478992
2023-12-13,10732.03592597324
2023-12-14,10865.196765848557
2023-12-15,11003.870339205318
2023-12-18,11115.86598672017
2023-12-19,11279.452539626358
2023-12-20,11142.984059662174
2023-12-21,11299.073948717414
2023-12-22,11310.097236734257
2023-12-26,11367.418770211041
2023-12-27,11406.220351820037
2023-12-28,11488.674938396298
2023-12-29,11397.84230429587
2024-01-01,11421.211500575891
2024-01-02,11515.790832392264
2024-01-03,11390.567892941011
2024-01-04,11449.429941268145
2024-01-05,11498.153353670712
2024-01-08,11408.425445212612
2024-01-09,11378.220895204813
2024-01-10,11667.587281757185
2024-01-11,11650.094647151851
2024-01-12,11742.830279373135
2024-01-15,11943.293386301119
2024-01-16,11776.240973589836
