Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Volatility_20,Price_Change,High_Low_Spread,Volume_Change,Score,Confidence,Signal
2024-07-11,486.8244934082031,491.9299926757813,503.2799987792969,490.7300109863281,503.0700073242188,49966600,,,491.9299926757813,491.9299926757813,,491.9299926757813,491.9299926757813,0.0,0.0,0.0,,,,,,,12.54998779296875,,-7,58.33,SELL
2024-07-12,489.68450927734375,494.8200073242188,499.6199951171875,492.0400085449219,492.510009765625,37109400,,,492.2052321661087,492.0433265835632,,492.3746103140024,492.1440678349248,0.2305424790776555,0.0461084958155311,0.1844339832621244,,,,0.0058748494531055,,2.8900146484375,7.579986572265625,-0.2573158870125244,4,33.33,HOLD
2024-07-15,491.0006713867188,496.1499938964844,501.010009765625,494.0899963378906,496.6099853515625,31151400,,,492.58092375947786,492.2043723605405,,492.9554385574612,492.440803098744,0.5146354587172368,0.1398138883958722,0.3748215703213645,,,,0.0026878189090566,,1.3299865722655682,6.920013427734375,-0.1605523128910734,4,33.33,HOLD
2024-07-16,491.1886901855469,496.3399963378906,498.4400024414063,493.1499938964844,497.6199951171875,25950600,,,492.9389306717076,492.3665536929856,,493.4761397544504,492.7296322275696,0.7465075268807482,0.2611526160928474,0.4853549107879007,,,,0.0003829536304416,,0.19000244140625,5.290008544921932,-0.1669523681118665,4,33.33,HOLD
2024-07-17,476.76995849609375,481.7699890136719,488.7999877929688,481.7000122070313,488.2799987792969,56268800,,,491.8752219423709,491.9510021369341,,491.6751934866383,491.9178068043179,-0.242613317679627,0.1603994293383525,-0.4030127470179796,,,,-0.0293548926778409,,-14.57000732421875,7.0999755859375,1.1683043937327071,-8,66.67,STRONG SELL
2024-07-18,474.5135498046875,479.489990234375,485.7099914550781,476.2699890136719,485.5299987792969,49347400,,,490.6956760654189,491.4623350035004,,489.8005468324439,490.9972277991369,-1.196680966693009,-0.1110166498679197,-1.0856643168250892,,,,-0.004732546300704,,-2.279998779296875,9.44000244140625,-0.1230059997725204,-8,66.67,STRONG SELL
2024-07-19,470.3077697753906,475.239990234375,481.6900024414063,473.9400024414063,479.1499938964844,42042900,,,489.2237059862719,490.82616462039744,,487.56046120197175,489.83002501656193,-2.2695638145901853,-0.5427260828123729,-1.7268377317778123,,,,-0.0088635844054275,,-4.25,7.75,-0.148021982921086,-8,66.67,STRONG SELL
2024-07-22,477.3142700195313,482.3200073242188,483.3500061035156,477.7099914550781,481.1600036621094,40300000,,,488.5662108756001,490.4925898244688,,486.7542375284713,489.2737274097217,-2.519489881250365,-0.9380788424999712,-1.581411038750394,,,,0.0148977721473988,,7.080017089843807,5.6400146484375,-0.0414552754448432,-6,50.0,SELL
2024-07-23,475.63189697265625,480.6199951171875,484.4299926757813,480.1400146484375,481.4100036621094,23282500,,,487.809428422418,490.1054292477127,,485.81050792673534,488.6327102028673,-2.822202276131975,-1.3149035292263722,-1.5072987469056027,,,,-0.0035246562058715,,-1.7000122070313068,4.289978027343807,-0.4222704714640198,-8,66.67,STRONG SELL
2024-07-24,458.57080078125,463.3800048828125,474.1900024414063,462.510009765625,473.8200073242188,58818600,,,485.4828166567413,489.0573733902657,,482.3596613045934,486.7621394384188,-4.402478133825412,-1.93241845014618,-2.4700596836792315,,,,-0.0358703141973347,,-17.239990234375,11.679992675781309,1.5263008697519598,-8,66.67,STRONG SELL
2024-07-25,453.5137939453125,458.2699890136719,467.9400024414063,455.6300048828125,463.7200012207031,59256800,,,482.8911187859728,487.8500249833405,,478.6535578752208,484.6516097773264,-5.998051902105601,-2.7455451405380646,-3.2525067615675365,,,,-0.0110277004085079,,-5.110015869140625,12.309997558593809,0.0074500243120374,-8,66.67,STRONG SELL
