Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Daily_Return,Volatility_20,Price_Change,High_Low_Spread,Volume_Change,Score,Confidence,Signal
2024-07-11,385.476318359375,397.6300048828125,398.8900146484375,396.30999755859375,397.5,4020700,,,397.6300048828125,397.6300048828125,,397.6300048828125,397.6300048828125,0.0,0.0,0.0,,,,,,,2.58001708984375,,-7,58.33,SELL
2024-07-12,388.0840759277344,400.3200073242188,402.6900024414063,398.1199951171875,398.8599853515625,4711800,,,397.8861955915179,397.7354951746324,,398.0438514122597,397.82926432291663,0.2145870893430128,0.0429174178686025,0.1716696714744102,,,,0.0067650891742918,,2.690002441406307,4.570007324218807,0.1718854925759196,4,33.33,HOLD
2024-07-15,390.0616760253906,402.3599853515625,403.5799865722656,401.3999938964844,402.4700012207031,4433500,,,398.3122708067602,397.9168477305904,,398.7078720183062,398.1648732880015,0.5429987303047028,0.1429336803558226,0.4000650499488801,,,,0.0050958682804267,,2.039978027343693,2.17999267578125,-0.0590644764209007,4,33.33,HOLD
2024-07-16,397.13861083984375,409.6600036621094,409.989990234375,403.8500061035156,403.8599853515625,6547600,,,399.39300726917446,398.3773636494735,,400.3928153481221,399.01636442682434,1.37645092129776,0.3896371285442102,0.98681379275355,,,,0.018143002724708,,7.300018310546875,6.139984130859375,0.4768467350851471,4,33.33,HOLD
2024-07-17,399.3392028808594,411.9299926757813,412.3399963378906,408.55999755859375,408.55999755859375,4490600,,,400.58700587932753,398.908839297564,,402.1677657062235,399.9729294823027,2.194836223920845,0.7506769476195372,1.4441592763013078,,,,0.0055411536234428,,2.269989013671932,3.779998779296875,-0.3141609139226586,4,33.33,HOLD
2024-07-18,394.2884826660156,406.7200012207031,413.8599853515625,406.0499877929688,410.6799926757813,4922200,,,401.17110067374426,399.2151593729813,,402.86810963152806,400.472712574036,2.3953970574920618,1.0796209695940422,1.3157760878980196,,,,-0.0126477594438694,,-5.209991455078182,7.809997558593693,0.0961118781454593,2,16.67,HOLD
2024-07-19,390.8201293945313,402.9500122070313,406.05999755859375,401.9500122070313,405.3699951171875,4284500,,,401.3405208197716,399.3616241900028,,402.8807100277593,400.65621625055417,2.2244937772051685,1.3085955311162676,0.9158982460889008,,,,-0.0092692491206648,,-3.769989013671818,4.109985351562443,-0.1295558896428426,2,16.67,HOLD
2024-07-22,391.9839782714844,404.1499938964844,404.7300109863281,402.2200012207031,404.0400085449219,2314000,,,401.6080896842204,399.54940339417857,,403.0759844691016,400.91501459469714,2.1609698744044863,1.4790703997739114,0.6818994746305749,,,,0.0029779914458385,,1.1999816894530682,2.510009765625,-0.4599136421986229,4,33.33,HOLD
2024-07-23,391.3438720703125,403.489990234375,405.2900085449219,403.2200012207031,404.2900085449219,1693500,,,401.7873183080447,399.7039362114412,,403.1396776637591,401.1057535309696,2.03392413278948,1.5900411463770252,0.4438829864124545,,,,-0.0016330661192053,,-0.660003662109375,2.07000732421875,-0.2681503889369058,2,16.67,HOLD
2024-07-24,386.6689453125,398.6700134277344,402.6300048828125,398.0799865722656,401.7300109863281,3701300,,,401.49043212896754,399.6633902199233,,402.4520370120629,400.9253283381374,1.5267086739255546,1.577374651886731,-0.0506659779611764,,,,-0.0119457159366973,,-4.819976806640625,4.550018310546875,1.1855919692943608,-4,33.33,HOLD
